ScientificName,validAphiaID,ValidName,Family,Genus,Rank,CommonName,TrophicCat,TrophicLevel,CommImp,Distribution,Range,Habitat,JuvLgth_m,MaxLgth_m,IUCNStatus,a,b,LengthType,LenLenRatio
Chaetodon humeralis,273343,Chaetodon humeralis,Chaetodontidae,Chaetodon,Species,Threebanded butterflyfish,Herbivore,2.7,No,Tropical,Panamic,Reef,0.08,0.25,LC,0.029,3.048,TL,1
Chanos chanos,217625,Chanos chanos,Chanidae,Chanos,Species,Milkfish,Planktivore,2.4,High,Tropical,Circumtropical,"Estuarine, nearshore",0.6,1.8,LC,0.0079,2.99,TL,1.180637544
Chelonia mydas,137206,Chelonia mydas,Cheloniidae,Chelonia,Species,Green Turtle,,NA,No,Tropical/Subtropical,Circumtropical,Coastal waters,NA,NA,EN,NA,NA,NA,NA
Cheloniidae sp,136999,Cheloniidae sp,Cheloniidae,NA,Family,Marine turtle,,,,,,,,,,,,,
Chromis atrilobata,273712,Chromis atrilobata,Pomacentridae,Chromis,Species,Scissortail damselfish,Planktivore,3.4,No,Tropical,Panamic,"Reef, nearshore",0.04,0.13,LC,0.00523,3.146,TL,1.093
Cirrhitichthys oxycephalus,218853,Cirrhitichthys oxycephalus,Cirrhitidae,Cirrhitichthys,Species,Coral hawkfish,Planktivore,4,No,Tropical,Panamic/IndoWest Pacific,Reef,0.03,0.1,LC,0.0138,3.117,TL,1
Cirrhitus rivulatus,279160,Cirrhitus rivulatus,Cirrhitidae,Cirrhitus,Species,Giant hawkfish,Carnivore,4.02,High,Tropical,Panamic,Reef,0.2,0.6,LC,0.02761,3,TL,1
Dasyatididae sp,105708,Dasyatidae sp,Dasyatidae,NA,Family,Stingrays,,,,,,,,,,,,,
Dasyatis brevis,271428,Dasyatis brevis,Dasyatidae,Dasyatis,Species,Whiptail stingray,Carnivore,3.8,No,Subtropical,Panamic,Bottom-dweller,0.62,1.87,DD,0.00711,3,DW,1
Dasyatis dipterura,1042857,Hypanus dipterurus,Dasyatidae,Hypanus,Species,Diamond stingray,Carnivore,3.5,No,Subtropical,Panamic,Bottom-dweller,0.6,1.8,DD,0.00676,3.07,DW,1
Dasyatis longus,1042860,Hypanus longus,Dasyatidae,Hypanus,Species,Longtail stingray,Carnivore,3.5,No,Tropical,Panamic,"Reef, bottom-dweller",0.87,2.6,DD,0.00676,3.07,DW,1
Dasyatis sp,105751,Dasyatis sp,Dasyatidae,Dasyatis,Genus,Stingrays,,,,,,,,,,,,,
Decapterus sp,125937,Decapterus sp,Carangidae,Decapterus,Genus,Scad,,,,,,,,,,,,,
Dermatolepis dermatolepis,276919,Dermatolepis dermatolepis,Serranidae,Dermatolepis,Species,Leather bass,Carnivore,4.5,SportsFishing,Subtropical,Panamic,"Reef, nearshore",0.33,1,LC,0.017,3,TL,1
Diodon hystrix,127403,Diodon hystrix,Diodontidae,Diodon,Species,Spot-fin porcupinefish,Carnivore,3.7,No,Subtropical,Circumtropical,Reef,0.3,0.91,LC,0.532,2.276,TL,1
Diodontidae sp,125608,Diodontidae sp,Diodontidae,NA,Family,Porcupinefishes,,,,,,,,,,,,,
Elagatis bipinnulata,126809,Elagatis bipinnulata,Carangidae,Elagatis,Species,Rainbow runner,Carnivore,3.59,SportsFishing,NA,NA,Reef,0.6,1.8,LC,0.016,2.754,TL,1.19
Enchelycore lichenosa,271807,Enchelycore lichenosa,Muraenidae,Enchelycore,Species,Reticulate hookjaw moray,Carnivore,4.5,No,Tropical,Panamic/IndoWest Pacific,"Reef, nearshore, bottom-dweller",0.3,0.9,LC,0.00107,3.07,TL,1
Epinephelus labriformis,273858,Epinephelus labriformis,Serranidae,Epinephelus,Species,Starry grouper,Carnivore,4,Low,Tropical,Panamic,"Reef, nearshore, bottom-dweller",0.2,0.6,LC,0.0343,2.9,TL,1
Eucinostomus currani,276416,Eucinostomus currani,Gerreidae,Eucinostomus,Species,Pacific flagfin mojarra,Carnivore,3.3,No,Tropical,Panamic,"Estuarine, nearshore",0.07,0.21,LC,0.012,3.08,TL,1.178
Eucinostomus dowii,276417,Eucinostomus dowii,Gerreidae,Eucinostomus,Species,Silver mojarra,Carnivore,3.2,No,Tropical,Panamic,"Estuarine, nearshore, bottom-dweller",0.07,0.2,LC,0.0102,3.19,TL,1.158
Eucinostomus sp,159731,Eucinostomus sp,Gerreidae,Eucinostomus,Genus,Mojarra,,,,,,,,,,,,,
Fistularia commersonii,217966,Fistularia commersonii,Fistulariidae,Fistularia,Species,Bluespotted cornetfish,Carnivore,4.3,No,Tropical,Panamic/IndoWest Pacific,Reef,0.4,1.2,LC,0.0115,2.63,TL,1
Forcipiger flavissimus,218760,Forcipiger flavissimus,Chaetodontidae,Forcipiger,Species,Longnose butterfly fish,Carnivore,3.38,No,NA,NA,Reef,0.07,0.22,LC,0.01249,3,TL,1
Gerreidae sp,151456,Gerreidae sp,Gerreidae,NA,Family,Mojarra,,,,,,,,,,,,,
Gerres cinereus,276954,Gerres cinereus,Gerreidae,Gerres,Species,Yellowfin mojarra,Carnivore,3.5,Low,Subtropical,Panamic,"Reef, freshwater, estuarine, nearshore",0.14,0.41,LC,0.234,2.82,TL,1.217
Gerres simillimus,713356,Gerres simillimus,Gerreidae,Gerres,Species,Yellowfin mojarra,Carnivore,3.4,No,Tropical,Eastern Pacific,Reef,0.14,0.41,LC,0.0098,3.07,TL,1.217
Girella freminvilli,280861,Girella freminvillii,Kyphosidae,Girella,Species,Dusky sea chub,Carnivore,2,No,Tropical,Endemic,"Reef, nearshore",0.15,0.45,LC,0.01514,3.06,TL,1.002
Gnathanodon speciosus,218429,Gnathanodon speciosus,Carangidae,Gnathanodon,Species,Golden trevally,Carnivore,3.8,No,Tropical,Eastern Pacific,Reef,0.4,1.2,LC,0.0195,3,FL,1
Gobiidae sp,125537,Gobiidae sp,Gobiidae,NA,Family,Gobies,,,,,,,,,,,,,
Gymnothorax dovii,271831,Gymnothorax dovii,Muraenidae,Gymnothorax,Species,Finespotted moray,Carnivore,4.3,No,Tropical,Panamic,"Bottom-dweller, nearshore",0.57,1.7,LC,0.00091,3.11,TL,1
Haemulidae sp,125538,Haemulidae sp,Haemulidae,NA,Family,Grunt,,,,,,,,,,,,,
Haemulon scudderii,275734,Haemulon scudderii,Haemulidae,Haemulon,Species,Grey grunt,Carnivore,4.2,Medium,Tropical,Panamic,Reef,0.12,0.35,LC,0.01549,3.01,TL,1.075
Haemulon sexfasciatum,275736,Haemulon sexfasciatum,Haemulidae,Haemulon,Species,Greybar grunt,Carnivore,4.2,No,Tropical,Panamic,Reef,0.24,0.71,LC,0.081,2.71,FL,1
Haemulon sp,158806,Haemulon sp,Haemulidae,Haemulon,Genus,Grunt,,,,,,,,,,,,,
Haemulon steindachneri,275738,Haemulon steindachneri,Haemulidae,Haemulon,Species,Chere-chere grunt,Carnivore,3.7,No,Tropical,Western Atlantic,Reef,0.1,0.3,LC,0.039,2.91,SL,0.925
Halichoeres dispilus,275763,Halichoeres dispilus,Labridae,Halichoeres,Species,Chaemeleon wrasse,Carnivore,3.9,No,Tropical,Panamic,Reef,0.08,0.25,LC,0.0049,3.11,TL,1
Halichoeres melanotis,275775,Halichoeres melanotis,Labridae,Halichoeres,Species,Golden wrasse,Carnivore,3.5,No,Tropical,Eastern Central Pacific,Reef,0.04,0.13,LC,0.01,3.08,TL,1
Halichoeres nicholsi,275780,Halichoeres nicholsi,Labridae,Halichoeres,Species,Spinster wrasse,Carnivore,4,No,Tropical,Panamic,Reef,0.13,0.38,LC,0.01,3.08,TL,1
Halichoeres notospilus,275781,Halichoeres notospilus,Labridae,Halichoeres,Species,Banded wrasse,Carnivore,3.5,No,Tropical,Panamic,"Reef, nearshore",0.08,0.25,LC,0.01,3.08,TL,1
Halichoeres sp,158813,Halichoeres sp,Labridae,Halichoeres,Genus,Wrasses,,,,,,,,,,,,,
Hemiramphus sp,125695,Hemiramphus sp,Hemiramphidae,Hemiramphus,Genus,Halfbeaks,,,,,,,,,,,,,
Holacanthus passer,276016,Holacanthus passer,Pomacanthidae,Holacanthus,Species,King angelfish,Carnivore,2.6,No,Tropical,Panamic,Reef,0.12,0.36,LC,0.0271,3.084,TL,1
Hoplopagrus guentherii,281087,Hoplopagrus guentherii,Lutjanidae,Hoplopagrus,Species,Barred snapper,Carnivore,3.8,Low,Tropical,Panamic,Nearshore,0.31,0.92,LC,0.0228,3,TL,1.04
Johnrandallia nigrirostris,281202,Johnrandallia nigrirostris,Chaetodontidae,Johnrandallia,Species,Blacknosed butterflyfish,Carnivore,3,No,Tropical,Panamic,Reef,0.04,0.13,LC,0.021,3.215,TL,1
Kyphosidae sp,125540,Kyphosidae sp,Kyphosidae,NA,Family,Chub,,,,,,,,,,,,,
Kyphosus analogus,273519,Kyphosus analogus,Kyphosidae,Kyphosus,Species,Blue-bronze sea chub,Herbivore,2,No,Subtropical,Panamic,"Reef, benthopelagic",0.15,0.45,LC,0.01998,3.037,FL,1
Kyphosus elegans,273521,Kyphosus elegans,Kyphosidae,Kyphosus,Species,Cortez sea chub,Herbivore,2.9,No,Tropical,Panamic,Reef,0.18,0.53,LC,0.01998,3.037,FL,1
Kyphosus ocyurus,1018702,Kyphosus ocyurus,Kyphosidae,Kyphosus,Species,Bluestriped chub,Planktivore,3.5,NA,NA,NA,Pelagic,0.2,0.59,NE,0.01778,3.01,TL,1.174
Labridae sp,125541,Labridae sp,Labridae,NA,Family,Wrasses,,,,,,,,,,,,,
Labrisomus dendriticus,281250,Labrisomus dendriticus,Labrisomidae,Labrisomus,Species,Bravo clinid,Carnivore,4,No,Tropical,Eastern Pacific Oceanic Islands,Bottom-dweller,0.04,0.13,VU,0.0049,3.09,TL,1
Lepidonectes corallicola,281295,Lepidonectes corallicola,Tripterygiidae,Lepidonectes,Species,Galapagos triplefin blenny,Carnivore,NA,No,NA,NA,Reef,0.03,0.09,VU,0.0055,3.08,TL,1
Lutjanidae sp,151453,Lutjanidae sp,Lutjanidae,NA,Family,Snapper,,,,,,,,,,,,,
Lutjanus aratus,276523,Lutjanus aratus,Lutjanidae,Lutjanus,Species,Mullet snapper,Carnivore,4.1,Low,Tropical,Panamic,"Reef, Nearshore",0.33,1,LC,0.0126,3,TL,1.07
Lutjanus argentiventris,276524,Lutjanus argentiventris,Lutjanidae,Lutjanus,Species,Yellow snapper,Carnivore,4,Medium,Subtropical,Panamic,Reef,0.24,0.71,LC,0.026,2.9,SL,0.898
Lutjanus jordani,276541,Lutjanus jordani,Lutjanidae,Lutjanus,Species,Jordan's snapper,Carnivore,4.5,Medium,Tropical,Panamic,Reef,0.2,0.6,LC,0.01413,2.98,FL,1
Lutjanus novemfasciatus,276544,Lutjanus novemfasciatus,Lutjanidae,Lutjanus,Species,Pacific dog snapper,Apex,4.1,Medium,Tropical,Panamic,Reef,0.57,1.7,LC,0.01452,3,TL,1.04
Lutjanus sp,159791,Lutjanus sp,Lutjanidae,Lutjanus,Genus,Snapper,,,,,,,,,,,,,
Lutjanus viridis,276552,Lutjanus viridis,Lutjanidae,Lutjanus,Species,Blue & gold snapper,Carnivore,4.2,Low,Tropical,Panamic,Reef,0.1,0.3,LC,0.0117,3.136,FL,1
Malacoctenus tetranemus,281502,Malacoctenus tetranemus,Labrisomidae,Malacoctenus,Species,Throatspotted blenny,Carnivore,3.5,No,Tropical,Chilean,"Reef, bottom-dweller",0.03,0.08,LC,0.00955,3.04,TL,1
Manta birostris,1026118,Mobula birostris,Myliobatidae,Manta,Species,Giant manta,Planktivore,3.5,No,Subtropical,Circumtropical,"Reef, pelagic",0.3,0.91,VU,0.0102,3,DW,1
Melichthys niger,219881,Melichthys niger,Balistidae,Melichthys,Species,Black triggerfish,Planktivore,2.73,No,NA,NA,Reef,0.17,0.5,LC,0.0058,3.554,FL,1
Microspathodon bairdii,281570,Microspathodon bairdii,Pomacentridae,Microspathodon,Species,Bumphead damselfish,Carnivore,2.5,No,Tropical,Panamic,"Reef, nearshore",0.1,0.31,LC,0.02239,2.99,TL,1.072
Microspathodon dorsalis,281572,Microspathodon dorsalis,Pomacentridae,Microspathodon,Species,Giant damselfish,Herbivore,2.1,No,Tropical,Panamic,"Reef, nearshore",0.1,0.31,LC,0.0239,3.082,FL,1
Mugil cephalus,126983,Mugil cephalus,Mugilidae,Mugil,Species,Flathead grey mullet,Planktivore,2.5,No,Subtropical,Circumtropical,"Estuarine, nearshore, bentho-pelagic",0.3,0.91,LC,0.0288,2.7,TL,1.1
Mugil curema,159416,Mugil curema,Mugilidae,Mugil,Species,White mullet,Planktivore,2,No,Subtropical,Panamic/Western Atlantic,"Reef, estuarine, nearshore",0.3,0.9,LC,0.0107,2.98,TL,(FL-0.32)/0.9
Mugil galapagensis,273651,Mugil galapagensis,Mugilidae,Mugil,Species,Galapagos mullet,Planktivore,2.5,High,Tropical,Endemic,"Estuarine, nearshore",0.2,0.6,NE,0.01096,2.97,TL,1.1
Mugil sp,126032,Mugil sp,Mugilidae,Mugil,Genus,Mullet,,,,,,,,,,,,,
Mulloidichthys dentatus,277990,Mulloidichthys dentatus,Mullidae,Mulloidichthys,Species,Mexican goatfish,Carnivore,3.69,Medium,NA,NA,Reef,0.1,0.31,LC,0.0145,2.905,TL,1.13
Muraena clepsydra,271898,Muraena clepsydra,Muraenidae,Muraena,Species,Hourglass moray,Carnivore,4,No,Tropical,Panamic,"Bottom-dweller, nearshore",0.4,1.2,LC,0.00107,3.07,TL,1
Muraena lentiginosa,271900,Muraena lentiginosa,Muraenidae,Muraena,Species,Jewel moray,Carnivore,3.9,No,Tropical,Panamic,Reef,0.2,0.61,LC,0.00107,3.07,TL,1
Muraenidae sp,125431,Muraenidae sp,Muraenidae,NA,Family,Moray,,,,,,,,,,,,,
Mycteroperca olfax,273881,Mycteroperca olfax,Serranidae,Mycteroperca,Species,Sailfin grouper,Carnivore,4.5,High,Tropical,Eastern Pacific Oceanic Islands,"Deep water, nearshore",0.4,1.2,VU,0.00513,3.202,FL,1
Myliobatidae sp,105710,Myliobatidae sp,Myliobatidae,NA,Family,Ray,,,,,,,,,,,,,
Myrichthys tigrinus,275489,Myrichthys tigrinus,Ophichthidae,Myrichthys,Species,Spotted snake-eel,Carnivore,3.5,No,Tropical,Panamic/IndoWest Pacific,"Reef, nearshore",0.25,0.74,LC,0.00126,2.93,TL,1
Naso brevirostris,219671,Naso brevirostris,Acanthuridae,Naso,Species,Spotted unicornfish,Planktivore,2.22,No,NA,NA,Reef,0.2,0.6,LC,0.0602,2.743,SL,0.902
Naucrates ductor,126811,Naucrates ductor,Carangidae,Naucrates,Species,Pilotfish,Carnivore,4,No,Subtropical,Circumtropical,"Reef, pelagic, nearshore",0.23,0.7,LC,0.0147,3.04,FL,1
Nicholsina denticulata,276038,Nicholsina denticulata,Scaridae,Nicholsina,Species,Loosetooth parrotfish,Herbivore,2,No,Tropical,Panamic,"Reef, nearshore",0.11,0.32,LC,0.01096,3.08,TL,1
Odontoscion eurymesops,281838,Odontoscion eurymesops,Sciaenidae,Odontoscion,Species,Galapagos croaker,Carnivore,4.1,No,Tropical,Eastern Pacific Oceanic Islands,Nearshore,0.08,0.25,VU,0.00562,3.09,TL,1
Ophichthidae sp,125434,Ophichthidae sp,Ophichthidae,NA,Family,Snake eels,,,,,,,,,,,,,
Ophioblennius steindachneri,273126,Ophioblennius steindachneri,Blenniidae,Ophioblennius,Species,Large-banded blenny,Herbivore,2.7,No,Tropical,Panamic,Reef,0.06,0.18,LC,0.0115,2.933,TL,1
Orthopristis cantharinus,275740,Orthopristis cantharinus,Haemulidae,Orthopristis,Species,Sheephead grunt,Carnivore,3.5,No,Tropical,Panamic,Reef,0.13,0.38,DD,0.0138,2.99,TL,1.068
Orthopristis forbesi,275742,Orthopristis forbesi,Haemulidae,Orthopristis,Species,Forbes grunt,Carnivore,3.5,No,Tropical,Endemic,Reef,0.1,0.31,DD,0.0138,2.99,TL,1.06
Orthopristis lethopristis,275743,Orthopristis lethopristis,Haemulidae,Orthopristis,Species,Scalyfin grunt,Carnivore,3.5,No,Tropical,Endemic,Reef,0.08,0.24,DD,0.0138,2.99,TL,1.057
Orthopristis sp,158809,Orthopristis sp,Haemulidae,Orthopristis,Genus,Grunts,,,,,,,,,,,,,
Ostracion meleagris,219905,Ostracion meleagris,Ostraciidae,Ostracion,Species,Whitespotted meleagris,Carnivore,2.7,No,Tropical,Panamic/IndoWest Pacific,Reef,0.08,0.25,NE,0.03631,2.81,TL,1
Otariidae sp,231386,Otariidae sp,Otariidae,NA,Family,Sealions,,,,,,,,,,,,,
Panulirus gracilis,382895,Panulirus gracilis,Palinuridae,Panulirus,Species,Green spiny lobster,,NA,High,Tropical,Tropical Eastern Pacific,Neritic,NA,NA,DD,NA,NA,,
Paranthias colonus,282083,Paranthias colonus,Serranidae,Paranthias,Species,Pacific creolefish,Planktivore,3.8,Low,Tropical,Panamic/Western Atlantic,"Reef, nearshore",0.12,0.36,LC,0.0148,2.863,TL,1.195
Phalacrocorax harrisi,343946,Phalacrocorax harrisi,Phalacrocoracidae,Phalacrocorax,Species,Flightless cormorant,,NA,No,,Endemic,,NA,NA,VU,NA,NA,,
Plagiotremus azaleus,278234,Plagiotremus azaleus,Blenniidae,Plagiotremus,Species,Sabertooth blenny,Carnivore,4.4,No,Tropical,Panamic,Reef,0.03,0.1,LC,0.0055,3.05,TL,1.053
Pomacentridae sp,125553,Pomacentridae sp,Pomacentridae,NA,Family,Major,,,,,,,,,,,,,
Prionurus laticlavius,282346,Prionurus laticlavius,Acanthuridae,Prionurus,Species,Razor surgeonfish,Herbivore,2.72,No,Tropical,Panamic,Reef,0.2,0.6,LC,0.01995,3.01,FL,1
Pseudupeneus grandisquamis,273662,Pseudupeneus grandisquamis,Mullidae,Pseudupeneus,Species,Bigscale goatfish,Carnivore,3.4,No,Subtropical,Eastern Pacific,"Reef, nearshore",0.1,0.3,LC,0.0056,3.31,TL,1.138
Remora sp,125964,Remora sp,Echeneidae,Remora,Genus,Remora,,,,,,,,,,,,,
Remora albescens,302877,Remora albescens,Echeneidae,Remora,Species,White suckerfish,Carnivore,NA,No,NA,NA,Pelagic,0.1,0.3,LC,0.00275,3.15,TL,1.005
Remora remora,126853,Remora remora,Echeneidae,Remora,Species,Shark sucker,Carnivore,3,No,NA,NA,Reef,0.29,0.86,LC,0.00148,3,TL,1.057
Rhincodon typus,105847,Rhincodon typus,Rhincodontidae,Rhincodon,Species,Whale shark,Planktivore,3.76,No,NA,NA,Pelagic,5.67,17,EN,0.00425,3,TL,0.265+(1.063*FL)
Rhinoptera steindachneri,271498,Rhinoptera steindachneri,Myliobatidae,Rhinoptera,Species,Pacific cownose ray,Carnivore,3.6,No,Tropical,Panamic,"Reef, estuarine, nearshore",0.3,0.9,NT,0.01148,2.98,DW,1
Sarda orientalis,219713,Sarda orientalis,Scombridae,Sarda,Species,Striped bonito,Carnivore,4.21,Low,NA,NA,"Pelagic, neritic",0.34,1.02,LC,0.0217,2.87,FL,1
Scaridae sp,125557,Scaridae sp,Scaridae,NA,Family,Parrotfish,Herbivore,,,,,,,,,,,,
Scarus compressus,276043,Scarus compressus,Scaridae,Scarus,Species,Azure parrotfish,Herbivore,2,No,Tropical,Panamic,Reef,0.23,0.68,LC,0.01445,3.05,TL,1
Scarus ghobban,219127,Scarus ghobban,Scaridae,Scarus,Species,Blue-barred parrotfish,Herbivore,2,Low,Tropical,Panamic/IndoWest Pacific,Reef,0.3,0.9,LC,0.0165,3.0412,FL,1
Scarus perrico,276057,Scarus perrico,Scaridae,Scarus,Species,Bumphead parrotfish,Herbivore,2,No,Tropical,Panamic,Reef,0.25,0.76,LC,0.01148,3.09,TL,1
Scarus rubroviolaceus,219124,Scarus rubroviolaceus,Scaridae,Scarus,Species,Ember parrotfish,Herbivore,2,No,Tropical,Panamic/IndoWest Pacific,"Reef, nearshore",0.23,0.7,LC,0.0136,3.109,FL,1
Scarus sp,159299,Scarus sp,Scaridae,Scarus,Genus,Parrotfish,,,,,,,,,,,,,
